"","SWL_1","SWL_2","SWL_3","SWL_4","SWL_5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13"
"SWL_1",0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"SWL_2",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SWL_3",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"SWL_4",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"SWL_5",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PANAS_1",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
"PANAS_2",0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
"PANAS_3",0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
"PANAS_4",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
"PANAS_5",1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"PANAS_6",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
"PANAS_7",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
"PANAS_8",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"PANAS_9",0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1
"PANAS_10",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
"PANAS_11",0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
"PANAS_12",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"PANAS_13",0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
